file,sha256,group_count,sample_rate_hz,total_samples,duration_ms,outlier_option,outlier_delta_ratio,option1_segment_sample_start,option1_segment_sample_end,option1_segment_start_ms,option1_segment_end_ms,option1_active_sample_start,option1_active_sample_end,option1_active_start_ms,option1_active_end_ms,option1_rms_dbfs,option1_peak_dbfs,option1_spectral_centroid_hz,option1_spectral_rolloff_85_hz,option1_noise_floor_db,option1_crest_factor,option1_zcr,option1_dc_offset,option1_quant16_uniformity,option1_quant24_uniformity,option1_fastest_attack_rise_ms,option1_autocorr_period_ms,option1_metadata_txt,option2_segment_sample_start,option2_segment_sample_end,option2_segment_start_ms,option2_segment_end_ms,option2_active_sample_start,option2_active_sample_end,option2_active_start_ms,option2_active_end_ms,option2_rms_dbfs,option2_peak_dbfs,option2_spectral_centroid_hz,option2_spectral_rolloff_85_hz,option2_noise_floor_db,option2_crest_factor,option2_zcr,option2_dc_offset,option2_quant16_uniformity,option2_quant24_uniformity,option2_fastest_attack_rise_ms,option2_autocorr_period_ms,option2_metadata_txt,option3_segment_sample_start,option3_segment_sample_end,option3_segment_start_ms,option3_segment_end_ms,option3_active_sample_start,option3_active_sample_end,option3_active_start_ms,option3_active_end_ms,option3_rms_dbfs,option3_peak_dbfs,option3_spectral_centroid_hz,option3_spectral_rolloff_85_hz,option3_noise_floor_db,option3_crest_factor,option3_zcr,option3_dc_offset,option3_quant16_uniformity,option3_quant24_uniformity,option3_fastest_attack_rise_ms,option3_autocorr_period_ms,option3_metadata_txt,pair_1_2,pair_1_3,pair_2_3,bg_1_2_corr,bg_1_2_mad,bg_1_2_samples,bg_1_3_corr,bg_1_3_mad,bg_1_3_samples,bg_2_3_corr,bg_2_3_mad,bg_2_3_samples
audio_challenge_1777420963_0.f32,80f00771a60c0ed925903ce2f0c7a3a9d0d6bf8cb2cc9e29f3eac79529ac3680,6,44100,745344,16901.224,1,2.063082,0,248448,0.0,5633.741,93100,248433,2111.111,5633.401,-22.041,-4.273,1164.645,1421.191,-81.448,7.734292,0.064204,-0.000179721,0.020253,0.012251,1.0,20.0,Inconclusive,248448,496896,5633.741,11267.483,301368,496893,6833.741,11267.415,-19.467,-1.395,660.273,785.962,-66.771,8.009508,0.064923,7.2902e-05,0.014714,0.009973,1.0,20.0,Inconclusive,496896,745344,11267.483,16901.224,549862,736757,12468.526,16706.508,-19.312,-1.39,837.753,1238.159,-76.538,7.872376,0.059863,0.000272845,0.010589,0.004719,1.0,20.0,Inconclusive,0.014555,-0.002796,-0.003928,Inconclusive,Inconclusive,0,Inconclusive,Inconclusive,46,Inconclusive,Inconclusive,0
audio_challenge_1777420977_0.f32,80f00771a60c0ed925903ce2f0c7a3a9d0d6bf8cb2cc9e29f3eac79529ac3680,6,44100,745344,16901.224,1,2.063082,0,248448,0.0,5633.741,93100,248433,2111.111,5633.401,-22.041,-4.273,1164.645,1421.191,-81.448,7.734292,0.064204,-0.000179721,0.020253,0.012251,1.0,20.0,Inconclusive,248448,496896,5633.741,11267.483,301368,496893,6833.741,11267.415,-19.467,-1.395,660.273,785.962,-66.771,8.009508,0.064923,7.2902e-05,0.014714,0.009973,1.0,20.0,Inconclusive,496896,745344,11267.483,16901.224,549862,736757,12468.526,16706.508,-19.312,-1.39,837.753,1238.159,-76.538,7.872376,0.059863,0.000272845,0.010589,0.004719,1.0,20.0,Inconclusive,0.014555,-0.002796,-0.003928,Inconclusive,Inconclusive,0,Inconclusive,Inconclusive,46,Inconclusive,Inconclusive,0
audio_challenge_1777420991_0.f32,80f00771a60c0ed925903ce2f0c7a3a9d0d6bf8cb2cc9e29f3eac79529ac3680,6,44100,745344,16901.224,1,2.063082,0,248448,0.0,5633.741,93100,248433,2111.111,5633.401,-22.041,-4.273,1164.645,1421.191,-81.448,7.734292,0.064204,-0.000179721,0.020253,0.012251,1.0,20.0,Inconclusive,248448,496896,5633.741,11267.483,301368,496893,6833.741,11267.415,-19.467,-1.395,660.273,785.962,-66.771,8.009508,0.064923,7.2902e-05,0.014714,0.009973,1.0,20.0,Inconclusive,496896,745344,11267.483,16901.224,549862,736757,12468.526,16706.508,-19.312,-1.39,837.753,1238.159,-76.538,7.872376,0.059863,0.000272845,0.010589,0.004719,1.0,20.0,Inconclusive,0.014555,-0.002796,-0.003928,Inconclusive,Inconclusive,0,Inconclusive,Inconclusive,46,Inconclusive,Inconclusive,0
audio_challenge_1777420998_0.f32,80f00771a60c0ed925903ce2f0c7a3a9d0d6bf8cb2cc9e29f3eac79529ac3680,6,44100,745344,16901.224,1,2.063082,0,248448,0.0,5633.741,93100,248433,2111.111,5633.401,-22.041,-4.273,1164.645,1421.191,-81.448,7.734292,0.064204,-0.000179721,0.020253,0.012251,1.0,20.0,Inconclusive,248448,496896,5633.741,11267.483,301368,496893,6833.741,11267.415,-19.467,-1.395,660.273,785.962,-66.771,8.009508,0.064923,7.2902e-05,0.014714,0.009973,1.0,20.0,Inconclusive,496896,745344,11267.483,16901.224,549862,736757,12468.526,16706.508,-19.312,-1.39,837.753,1238.159,-76.538,7.872376,0.059863,0.000272845,0.010589,0.004719,1.0,20.0,Inconclusive,0.014555,-0.002796,-0.003928,Inconclusive,Inconclusive,0,Inconclusive,Inconclusive,46,Inconclusive,Inconclusive,0
audio_challenge_1777421005_0.f32,80f00771a60c0ed925903ce2f0c7a3a9d0d6bf8cb2cc9e29f3eac79529ac3680,6,44100,745344,16901.224,1,2.063082,0,248448,0.0,5633.741,93100,248433,2111.111,5633.401,-22.041,-4.273,1164.645,1421.191,-81.448,7.734292,0.064204,-0.000179721,0.020253,0.012251,1.0,20.0,Inconclusive,248448,496896,5633.741,11267.483,301368,496893,6833.741,11267.415,-19.467,-1.395,660.273,785.962,-66.771,8.009508,0.064923,7.2902e-05,0.014714,0.009973,1.0,20.0,Inconclusive,496896,745344,11267.483,16901.224,549862,736757,12468.526,16706.508,-19.312,-1.39,837.753,1238.159,-76.538,7.872376,0.059863,0.000272845,0.010589,0.004719,1.0,20.0,Inconclusive,0.014555,-0.002796,-0.003928,Inconclusive,Inconclusive,0,Inconclusive,Inconclusive,46,Inconclusive,Inconclusive,0
audio_challenge_1777421012_0.f32,80f00771a60c0ed925903ce2f0c7a3a9d0d6bf8cb2cc9e29f3eac79529ac3680,6,44100,745344,16901.224,1,2.063082,0,248448,0.0,5633.741,93100,248433,2111.111,5633.401,-22.041,-4.273,1164.645,1421.191,-81.448,7.734292,0.064204,-0.000179721,0.020253,0.012251,1.0,20.0,Inconclusive,248448,496896,5633.741,11267.483,301368,496893,6833.741,11267.415,-19.467,-1.395,660.273,785.962,-66.771,8.009508,0.064923,7.2902e-05,0.014714,0.009973,1.0,20.0,Inconclusive,496896,745344,11267.483,16901.224,549862,736757,12468.526,16706.508,-19.312,-1.39,837.753,1238.159,-76.538,7.872376,0.059863,0.000272845,0.010589,0.004719,1.0,20.0,Inconclusive,0.014555,-0.002796,-0.003928,Inconclusive,Inconclusive,0,Inconclusive,Inconclusive,46,Inconclusive,Inconclusive,0
audio_challenge_1777420970_0.f32,524c2b878cf48d5a63cb6a84b6f0b2d9d5ea88352545947298eb1d9e07cb4767,4,44100,745344,16901.224,1,2.08966,0,248448,0.0,5633.741,93100,248433,2111.111,5633.401,-22.041,-4.273,1164.645,1421.191,-81.448,7.734292,0.064204,-0.000179721,0.020253,0.012251,1.0,20.0,Inconclusive,248448,496896,5633.741,11267.483,301368,496501,6833.741,11258.526,-19.383,-1.383,660.273,785.962,-66.771,7.943597,0.064659,0.000400734,0.014693,0.009783,1.0,20.0,Inconclusive,496896,745344,11267.483,16901.224,563518,739256,12778.186,16763.175,-18.381,-1.379,1448.119,2950.049,-83.685,7.080911,0.052214,0.000121857,0.001952,0.002066,1.0,20.0,Inconclusive,0.004125,-0.01133,-0.000669,Inconclusive,Inconclusive,0,Inconclusive,Inconclusive,13702,Inconclusive,Inconclusive,0
audio_challenge_1777420984_0.f32,524c2b878cf48d5a63cb6a84b6f0b2d9d5ea88352545947298eb1d9e07cb4767,4,44100,745344,16901.224,1,2.08966,0,248448,0.0,5633.741,93100,248433,2111.111,5633.401,-22.041,-4.273,1164.645,1421.191,-81.448,7.734292,0.064204,-0.000179721,0.020253,0.012251,1.0,20.0,Inconclusive,248448,496896,5633.741,11267.483,301368,496501,6833.741,11258.526,-19.383,-1.383,660.273,785.962,-66.771,7.943597,0.064659,0.000400734,0.014693,0.009783,1.0,20.0,Inconclusive,496896,745344,11267.483,16901.224,563518,739256,12778.186,16763.175,-18.381,-1.379,1448.119,2950.049,-83.685,7.080911,0.052214,0.000121857,0.001952,0.002066,1.0,20.0,Inconclusive,0.004125,-0.01133,-0.000669,Inconclusive,Inconclusive,0,Inconclusive,Inconclusive,13702,Inconclusive,Inconclusive,0
audio_challenge_1777421019_0.f32,524c2b878cf48d5a63cb6a84b6f0b2d9d5ea88352545947298eb1d9e07cb4767,4,44100,745344,16901.224,1,2.08966,0,248448,0.0,5633.741,93100,248433,2111.111,5633.401,-22.041,-4.273,1164.645,1421.191,-81.448,7.734292,0.064204,-0.000179721,0.020253,0.012251,1.0,20.0,Inconclusive,248448,496896,5633.741,11267.483,301368,496501,6833.741,11258.526,-19.383,-1.383,660.273,785.962,-66.771,7.943597,0.064659,0.000400734,0.014693,0.009783,1.0,20.0,Inconclusive,496896,745344,11267.483,16901.224,563518,739256,12778.186,16763.175,-18.381,-1.379,1448.119,2950.049,-83.685,7.080911,0.052214,0.000121857,0.001952,0.002066,1.0,20.0,Inconclusive,0.004125,-0.01133,-0.000669,Inconclusive,Inconclusive,0,Inconclusive,Inconclusive,13702,Inconclusive,Inconclusive,0
audio_challenge_1777421026_0.f32,524c2b878cf48d5a63cb6a84b6f0b2d9d5ea88352545947298eb1d9e07cb4767,4,44100,745344,16901.224,1,2.08966,0,248448,0.0,5633.741,93100,248433,2111.111,5633.401,-22.041,-4.273,1164.645,1421.191,-81.448,7.734292,0.064204,-0.000179721,0.020253,0.012251,1.0,20.0,Inconclusive,248448,496896,5633.741,11267.483,301368,496501,6833.741,11258.526,-19.383,-1.383,660.273,785.962,-66.771,7.943597,0.064659,0.000400734,0.014693,0.009783,1.0,20.0,Inconclusive,496896,745344,11267.483,16901.224,563518,739256,12778.186,16763.175,-18.381,-1.379,1448.119,2950.049,-83.685,7.080911,0.052214,0.000121857,0.001952,0.002066,1.0,20.0,Inconclusive,0.004125,-0.01133,-0.000669,Inconclusive,Inconclusive,0,Inconclusive,Inconclusive,13702,Inconclusive,Inconclusive,0
